st1,st2,st3,lon,lat,area
950383,950382,950456,131.88891876576898,35.67444890866229,
950386,950383,940075,132.55363711728597,35.42378220084,
021059,021088,02P211,131.798422256325,32.0306474542494,
021088,021059,02P122,131.885178833133,32.314503744448196,
960745,111190,950497,128.893897611171,26.0286653018238,
021094,960745,950497,129.00298532130898,26.1261080195775,
960736,960738,960737,128.09967311823002,26.8346830116585,301182394.62403643
960744,960743,950498,126.473418723267,25.757336348432702,
111190,960744,950498,126.782465642151,25.6727307925011,
960735,960734,960736,128.483903531346,27.384713882070603,
960726,960731,960746,130.727878261431,28.238354640124196,
950457,950458,950456,129.496480506855,34.2187149312855,
960691,950457,960698,129.00589207393799,33.38275084738769,
960698,950457,131200,126.94527960912598,30.449097589053,
950457,950456,131200,127.23281713916398,31.122789280146304,
950459,950457,960691,129.311745182235,33.625369412438104,
950457,950459,950458,129.514796085114,33.7876418052426,
960692,081168,970832,129.495059955591,32.765712255084594,
950487,081168,960692,129.519967071297,32.4087719963469,
950462,960692,960698,128.81672590244702,32.7264889154775,218760126.85750017
950487,950462,960698,129.073066699137,32.35421109798239,
950462,950487,960692,129.208712966487,32.437987342186794,
021060,950408,950456,130.369505888919,34.289863700030395,
950235,950253,950245,137.791882470363,37.4319566526444,
950253,950235,950252,137.473721316327,37.7003703885864,
950318,950320,960638,136.113469601769,35.398332429738296,154548842.81196773
020849,970778,950104,141.726298012794,45.1095994712451,411602079.91395414
020851,020849,950104,141.867467551095,45.008375595645006,400816457.6416263
970778,020849,940001,141.72931034819698,45.2797595768661,219772742.0825423
020849,020851,950101,142.010232896466,45.1561491848082,458929633.2622595
020849,950101,020848,141.988058090835,45.355478648535,322412569.5986878
940001,020849,020848,141.848305080867,45.3778651649928,217490578.23755857
950113,950115,020864,145.043913801369,43.664049942321604,123217102.57585871
020864,950115,950109,145.110284296989,43.820629282821606,151356053.16169274
020851,020850,950101,142.147043137407,45.0762900265227,449455953.187582
020850,950105,950103,142.350628916793,44.9026414074546,279580816.87387574
970782,950105,020852,142.17527876356198,44.6078266218816,362282465.7118837
950105,020851,020852,142.094370818499,44.7914542746132,171252355.67574444
950105,020850,020851,142.178876750394,44.8738668158682,302116453.9513215
950105,970780,950103,142.49250059487298,44.832537389557494,483308291.2643802
940020,020888,020875,139.95588941135998,42.7155885496131,
960527,940020,950102,139.987322884365,43.1590217431923,
940020,020875,950102,140.298000290184,43.579046527846494,
020888,940017,950143,140.02597335559798,42.4556684522223,
940017,950145,950143,140.02336362992997,42.270857688147,437197383.7268462
940020,940017,020888,139.78237097160599,42.4256275392807,
940017,940020,950145,139.77976124593798,42.240816775205396,695581806.001024
020860,020855,970783,141.784994529222,44.168423029302,236441132.34018895
020860,970783,940008,141.66440697585,44.0138874524052,323772314.07782763
960509,020860,940008,141.734149280922,43.877930020174794,498736216.7149881
960510,960504,020858,142.84607606378998,44.021532119862,829768588.4358798
950408,960669,960668,131.077459289832,34.46356678165169,
960669,950407,960668,131.235243633153,34.5119793062484,529273668.1270745
02P209,940075,960668,131.796015810327,34.884667615690205,
950388,02P209,960668,131.700748194708,34.806186221947804,
