st1,st2,st3,area
93028,93019,960758,102773713.26792651
93029,93028,960758,88563872.40263069
081171,93019,950228,70691632.8250926
93011,081171,93013,168092372.22954956
93019,081171,93011,174427608.56632188
93026,081171,950228,27252094.12550045
93016,081171,93026,167500207.93300498
950224,93016,93012,117755419.89550644
081171,950224,93013,131058770.75244492
950224,081171,93016,99591962.8027222
93025,950225,93030,144038914.32905424
93033,93024,93027,82050675.37645563
93024,93033,950226,152250324.69143665
93033,960756,950226,111031293.66298841
93025,93033,93027,70832678.36357032
960756,93033,93025,155481265.7976489
970810,970806,950237,112989315.06627925
950233,960566,950237,
970806,950233,950237,
960565,950233,950232,119088668.03024085
950233,02P109,960566,
02P109,960565,950235,
02P109,950233,960565,
020964,950241,960569,162167823.8235707
950241,950243,960569,169161199.4920718
950243,950241,950235,
950241,02P109,950235,
950266,020967,00R015,353400549.78495175
950203,05S054,11S070,
05S054,950203,101181,
960550,05S054,93022,
05S054,101181,93022,
950164,940028,111184,141498860.1750563
020893,950150,02P204,
950149,020893,970794,311472582.0516702
960529,020893,02P204,
020893,950146,970794,326946051.711266
950146,020893,960529,280366861.90892196
020893,960534,950150,
960534,020893,950149,
950232,02P104,960527,
02P104,950154,960527,
07S065,960550,02P213,
07S065,02P213,021098,
960519,07S065,021098,
07S065,960519,950167,
950343,950345,950349,169534973.21447265
950329,950343,950331,180196081.3346628
950348,950343,950349,120716986.82841735
950343,950348,950331,162875948.050518
021002,950329,950331,156691422.16770086
950336,960761,950335,99221034.72783501
960761,950336,950337,87603604.10348202
061149,041139,950314,41069042.84452672
041139,061149,960636,108947211.88872981
950367,970824,021009,146564540.90487784
970824,021008,021009,195857203.4781691
970824,940066,960637,165532833.78103983
021008,970824,960637,384637556.31977034
950316,071156,021000,42923313.78645305
071156,950367,021000,89748123.2467185
950261,950319,950318,132770058.07380486
940056,950261,950318,118008976.88347001
960580,950261,940056,250583641.4382653
950261,960580,950259,180962133.91534647
940067,950336,950335,144609019.2748981
950319,081170,950322,118808391.67306986
960760,960644,950335,46639773.52098199
950320,950321,960638,138833507.7944361
950324,960760,950334,101345750.55495964
950326,950324,950334,160239795.39855963
950324,960644,960760,46718841.65752158
950322,950324,960639,161009223.48334938
950324,950326,960639,158196067.49916652
950338,950365,960761,77531451.63725466
950338,960761,950337,103442098.3750789
950339,950338,950337,50322993.53928618
950365,950338,950366,71503851.26472123
950338,950339,950366,39985904.393699355
031113,940070,02P208,
970826,940070,031113,65780224.16740019
950371,021011,051146,111795939.93627623
950371,031110,021011,91443095.25583732
031109,950371,051146,87199304.17894311
